Car_ID,manufacturer,fuel_type,co_emissions
1,Audi,Petrol,441.55
2,BMW,E85,376.47
3,BMW,E85,414.12
4,BMW,E85,351.41
5,Volvo,E85,284.59
6,Audi,E85,200.18
7,Ford,LPG,479.92
8,Audi,LPG,315.45
9,Audi,E85,347.61
10,Volvo,E85,412.86
11,BMW,LPG,516.96
12,Ford,LPG,357.76
13,Ford,LPG,349.04
14,BMW,LPG,342.66
15,BMW,LPG,406.29
16,Ford,E85,259.31
17,BMW,E85,382.93
18,BMW,Petrol,479.15
19,Audi,LPG,409.6
20,Ford,Petrol,544.56
21,BMW,E85,454.18
22,Volvo,LPG,370.65
23,Audi,LPG,300.11
24,Audi,E85,312.5
25,BMW,Petrol,331.37
26,Audi,E85,252.61
27,Ford,E85,320.84
28,Ford,LPG,413.7
29,Volvo,LPG,348.21
30,Volvo,E85,323.21
31,Audi,Petrol,334.48
32,Audi,Petrol,410.29
33,Ford,Petrol,297.6
34,BMW,Petrol,371.99
35,Volvo,Petrol,267.65
36,Ford,LPG,461.52
37,Ford,LPG,490.19
38,Ford,E85,314.83
39,BMW,Petrol,321.4
40,Ford,E85,271.49
41,Volvo,E85,312.48
42,Audi,E85,382.28
43,Audi,E85,372.26
44,BMW,E85,430.54
45,Volvo,E85,350.07
46,Audi,E85,392.16
47,Volvo,E85,356.25
48,Ford,Petrol,427.33
49,Audi,Petrol,324.17
50,Ford,LPG,327.31
51,Audi,LPG,299.39
52,Ford,E85,273.66
53,Ford,Petrol,358.84
54,Volvo,Petrol,269.48
55,Audi,Petrol,315.3
56,Audi,Petrol,256.28
57,BMW,Petrol,327.77
58,BMW,E85,365.65
59,Volvo,LPG,306.54
60,BMW,LPG,475.4
61,BMW,E85,313.89
62,BMW,Petrol,316.12
63,Audi,Petrol,460.78
64,Audi,E85,284.03
65,BMW,E85,272.06
66,Ford,E85,306.29
67,Volvo,Petrol,212.71
68,Volvo,Petrol,301.54
69,Ford,E85,390.84
70,Audi,E85,256.09
71,BMW,Petrol,372.86
72,BMW,Petrol,351.28
73,Volvo,Petrol,339.46
74,Volvo,Petrol,408.96
75,Audi,Petrol,247.94
76,Volvo,Petrol,353.04
77,Volvo,LPG,344.71
78,Ford,LPG,473.61
79,Ford,LPG,376.1
80,Ford,E85,237.08
81,Ford,Petrol,313.02
82,BMW,LPG,374.81
83,Audi,LPG,418.16
84,Ford,LPG,378.16
85,Volvo,Petrol,345.74
86,Audi,LPG,275.83
87,Ford,E85,350.55
88,Volvo,E85,278.89
89,Audi,Petrol,401.7
90,BMW,Petrol,401.8
91,Audi,LPG,389.72
92,BMW,E85,272.15
93,BMW,E85,234.88
94,Audi,Petrol,371.86
95,BMW,Petrol,388.38
